,0 beds,1 bath,1 bed,1 bedroom,1 guest,1 private bath,1 shared bath,1.5 baths,1.5 private baths,1.5 shared baths,2 baths,2 bedrooms,2 beds,2 guests,2 private baths,2 shared baths,2.5 shared baths,3 bedrooms,3 beds,3 guests,3 shared baths,4 beds,4 guests,5 beds,5 guests,6 beds,6 guests,Boat,Camper/RV,Private room in apartment,Shared half-bath,Studio,free_cancel,lat,long,plus,price,ratings,rental_price_norm,reviews,superhost,entire_place,private_room,no_baths,shared_room,logprice
323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,37.7757647,-122.4154915,0,125,5.0,1.145998149,291,1,0,0,1,1,4.8283137373023015
324,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.727,-122.39,0,58,4.5,1.151611442,92,0,0,1,0,0,4.060443010546419
325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,37.73436160000001,-122.4048752,0,155,5.0,1.105523349,96,1,1,0,0,0,5.043425116919247
326,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7509299,-122.4270217,0,69,5.0,0.922057288,197,1,0,1,0,0,4.23410650459726
327,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,37.7558184,-122.4016217,0,67,4.5,1.105523349,119,0,0,0,0,0,4.204692619390966
328,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7585526,-122.4452989,0,78,5.0,1.083661049,442,1,0,1,0,0,4.356708826689592
329,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.74800000000001,-122.492,0,75,5.0,0.922057288,249,1,0,1,0,0,4.31748811353631
330,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.6007821,-122.4073735,0,90,5.0,0.922057288,497,0,1,0,0,0,4.499809670330265
303,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7585276,-122.4238706,0,100,5.0,1.001234268,164,1,1,0,0,0,4.605170185988092
304,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.768464,-122.4386285,0,258,5.0,1.010097363,285,1,1,0,0,0,5.552959584921617
305,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37.7341404,-122.4439701,0,225,5.0,1.172587433,245,1,1,0,0,0,5.41610040220442
306,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.7428765,-122.4614686,0,125,5.0,1.172587433,228,1,1,0,0,0,4.8283137373023015
308,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7829717,-122.4315598,0,155,5.0,1.047322361,256,1,1,0,0,0,5.043425116919247
309,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.8110362,-122.2046429,0,100,5.0,1.055299146,180,1,1,0,0,0,4.605170185988092
310,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7420686,-122.4306852,0,165,5.0,1.083661049,266,0,1,0,0,0,5.10594547390058
311,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7686909,-122.135845,0,90,5.0,1.047322361,262,1,1,0,0,0,4.499809670330265
312,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,37.7292403,-122.4265298,0,110,4.5,1.024869187,189,1,1,0,0,0,4.700480365792417
313,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,37.8662284,-122.5028307,0,125,5.0,1.047322361,363,1,1,0,0,0,4.8283137373023015
314,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7639295,-122.435022,0,111,5.0,1.151611442,175,1,1,0,0,0,4.709530201312334
315,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.74780560000001,-122.5031612,0,129,5.0,1.010097363,394,1,1,0,0,0,4.859812404361672
